,good,bad
862,"Then the Marionette took off his clothes and laid themon the sand to dry.  He looked over the waters to seewhether he might catch sight of a boat with a little man init.  He searched and he searched, but he saw nothing exceptsea and sky and far away a few sails, so small that theymight have been birds.","Then the Marionette took off his clothes and laid themon the sand to dry.  He looked over the waters to seewhether he might catch sight of a boat with a little man init.  He searched and he searched, but he saw nothing exceptsea and sky and far away a"
863,"""If only I knew the name of this island!"" he said to himself.""If I even knew what kind of people I would find here!But whom shall I ask?  There is no one here.""","""If only I knew the name of this island!"" he said to himself.""If I even knew what kind of people I would fin"
864,"The idea of finding himself in so lonesome a spot made himso sad that he was about to cry, but just then he saw a bigFish swimming near-by, with his head far out of the water.",The idea of finding himself in so lonesome a spot made hi
865,"Not knowing what to call him, the Marionette said to him:",Not knowing 
866,"""Hey there, Mr. Fish, may I have a word with you?""","""Hey there, Mr. Fish, may I have "
867,"""Even two, if you want,"" answered the fish,who happened to be a very polite Dolphin.","""Even two, if you want,"" answered the fish,who happened "
868,"""Will you please tell me if, on this island, there areplaces where one may eat without necessarily being eaten?""","""W"
869,"""Surely, there are,"" answered the Dolphin.  ""In factyou'll find one not far from this spot.""","""Surely, there are,"" answered the Dolphin.  "
870,"""And how shall I get there?""","""And how shall "
871,"""Take that path on your left and follow your nose.  Youcan't go wrong.""","""Take that path on your left and follow your nose.  Youca"
872,"""Tell me another thing.  You who travel day and nightthrough the sea, did you not perhaps meet a little boat withmy father in it?""","""Tell me another thing.  You who travel day and nightthrough the sea, did you not perhaps m"
873,"""And who is you father?""","""And who is"
874,"""He is the best father in the world, even as I am theworst son that can be found.""","""He is the best father in the wo"
875,"""In the storm of last night,"" answered the Dolphin, ""thelittle boat must have been swamped.""","""In the storm of last night,"" answered the Dolphin, ""thelittle "
876,"""And my father?""","""And"
877,"""By this time, he must have been swallowed by theTerrible Shark, which, for the last few days, has beenbringing terror to these waters.""","""By this time, "
878,"""Is this Shark very big?"" asked Pinocchio, who wasbeginning to tremble with fright.","""Is this Shark very bi"
879,"""Is he big?"" replied the Dolphin.  ""Just to give you an ideaof his size, let me tell you that he is larger than a fivestory building and that he has a mouth so big and so deep,that a whole train and engine could easily get into it.""","""Is he big?"" replied the Dolphin.  ""Just to give you an ideaof his size, let me tell you that he is larger than a five"
880,"""Mother mine!"" cried the Marionette, scared to death;and dressing himself as fast as he could, he turned to theDolphin and said:","""Mother mine!"" cried the Marionette, scared to death;and dressing h"
881,"""Farewell, Mr. Fish.  Pardon the bother, and many thanksfor your kindness.""","""Farewell, Mr. Fish.  Pardon the bother, and many thanksfor your kindness"
882,"This said, he took the path at so swift a gait that heseemed to fly, and at every small sound he heard,he turned in fear to see whether the Terrible Shark,five stories high and with a train in his mouth,was following him.","This said, he to"
883,"After walking a half hour, he came to a small countrycalled the Land of the Busy Bees.  The streets were filledwith people running to and fro about their tasks.  Everyoneworked, everyone had something to do.  Even if one wereto search with a lantern, not one idle man or one trampcould have been found.","After walking a half hour, he came to a small countrycalled the Land of the Busy Bees.  The streets were filledwith people running to a"
884,"""I understand,"" said Pinocchio at once wearily,""this is no place for me!  I was not born for work.""","""I understand,"" said Pinocchio at once wearily,""this is no "
885,"But in the meantime, he began to feel hungry, for itwas twenty-four hours since he had eaten.","But in the meantime, he began to feel hungry, for itw"
886,What was to be done?,Wha
887,There were only two means left to him in order to get abite to eat.  He had either to work or to beg.,There were only two means left to him in order to get abite to 
888,"He was ashamed to beg, because his father had alwayspreached to him that begging should be done only by thesick or the old.  He had said that the real poor in this world,deserving of our pity and help, were only those who, eitherthrough age or sickness, had lost the means of earning theirbread with their own hands.  All others should work, andif they didn't, and went hungry, so much the worse for them.","He was ashamed to beg, becau"
889,"Just then a man passed by, worn out and wet with perspiration,pulling, with difficulty, two heavy carts filled with coal.","Just then a man passed by, worn out and wet with perspiration,pulling, with diffi"
890,"Pinocchio looked at him and, judging him by his looksto be a kind man, said to him with eyes downcast in shame:","Pinocchio looked at him and, judging him by his looksto be a kind man, said to him with eyes downcast i"
891,"""Will you be so good as to give me a penny,for I am faint with hunger?""","""Will"
892,"""Not only one penny,"" answered the Coal Man.  ""I'll giveyou four if you will help me pull these two wagons.""","""Not only one penny,"" answered the Coal Man.  ""I'll giveyou fo"
893,"""I am surprised!"" answered the Marionette, very much offended.""I wish you to know that I never have been a donkey,nor have I ever pulled a wagon.""","""I am surprised!"" answered the Marionette, very much offended.""I wish you to know that I never"
894,"""So much the better for you!"" answered the Coal Man.""Then, my boy, if you are really faint with hunger,eat two slices of your pride; and I hope they don'tgive you indigestion.""","""So much the better for you!"" answered the Coal Man.""Then, my boy, if you are really faint with hunger,eat two slices of"
895,"A few minutes after, a Bricklayer passed by, carryinga pail full of plaster on his shoulder.","A few minutes after, a Bricklayer passed by, carryinga pail"
896,"""Good man, will you be kind enough to give a penny toa poor boy who is yawning from hunger?""","""Good man, will you be kind enou"
897,"""Gladly,"" answered the Bricklayer.  ""Come with me and carrysome plaster, and instead of one penny, I'll give you five.""","""Gladly,"" answered the Bricklayer.  ""Come with me and carrysome plaster, and instead of one p"
898,"""But the plaster is heavy,"" answered Pinocchio, ""and thework too hard for me.""","""But the plaster is heavy,"
899,"""If the work is too hard for you, my boy, enjoy your yawnsand may they bring you luck!""","""If the work is too hard for you, my boy, enjoy your"
900,"In less than a half hour, at least twenty people passedand Pinocchio begged of each one, but they all answered:",In l
901,"""Aren't you ashamed?  Instead of being a beggar in the streets,why don't you look for work and earn your own bread?""","""Aren't you ashamed?  Instead of being a beggar in the streets"
902,Finally a little woman went by carrying two water jugs.,Finally a little woman we
903,"""Good woman, will you allow me to have a drink fromone of your jugs?"" asked Pinocchio, who was burning upwith thirst.","""Good woman, will you allow me to have a drink fromone of your jugs?"" asked Pinocchio, who was burning upwith t"
904,"""With pleasure, my boy!"" she answered, setting thetwo jugs on the ground before him.","""With pleasu"
905,"When Pinocchio had had his fill, he grumbled,as he wiped his mouth:","When Pinocchio had had his fill, he gr"
906,"""My thirst is gone.  If I could only as easily get rid of my hunger!""","""My thirst is gone. "
907,"On hearing these words, the good little woman immediately said:",On heari
908,"""If you help me to carry these jugs home, I'll give you aslice of bread.""","""If you help me to carry these jugs home,"
909,Pinocchio looked at the jug and said neither yes nor no.,Pinocchio looked at the jug and said ne
910,"""And with the bread, I'll give you a nice dish ofcauliflower with white sauce on it.""","""And with the bread, "
911,Pinocchio gave the jug another look and said neither yes nor no.,Pinocchio gave the ju
912,"""And after the cauliflower, some cake and jam.""","""And after the cauliflower, some c"
913,"At this last bribery, Pinocchio could no longer resist and said firmly:","At this last bribery, Pinocchio could no longer resist"
914,"""Very well.  I'll take the jug home for you.""","""Very well."
915,"The jug was very heavy, and the Marionette, not beingstrong enough to carry it with his hands, had to put iton his head.","The jug was very heavy, and the Marionette, not beingstrong enough to carry it with his hands, had to pu"
916,"When they arrived home, the little woman made Pinocchiosit down at a small table and placed before him thebread, the cauliflower, and the cake.  Pinocchio did not eat;he devoured.  His stomach seemed a bottomless pit.","When they arrived home, the little woman made Pinocchiosit down at a small table and placed before him thebread, the cauliflower, and the cake.  Pinocchio did not eat;he devoured.  His stomach seemed a bott"
917,"His hunger finally appeased, he raised his head to thankhis kind benefactress.  But he had not looked at her longwhen he gave a cry of surprise and sat there with his eyeswide open, his fork in the air, and his mouth filled withbread and cauliflower.","His hunger finally appeased, he raised his head to thankhis kind benefactress.  But he had not looked at her longwhen he gave a cry of surprise and sat there with his eyeswide open, his fork in the air, and his mouth fil"
918,"""Why all this surprise?"" asked the good woman, laughing.","""Why all this surp"
919,"""Because--"" answered Pinocchio, stammering and stuttering,""because--you look like--you remind me of--yes, yes,the same voice, the same eyes, the same hair--yes, yes,yes, you also have the same azure hair she had--Oh, mylittle Fairy, my little Fairy!  Tell me that it is you!Don't make me cry any longer!  If you only knew!  I havecried so much, I have suffered so!""","""Because--"" answered Pinocchio, stammering and stuttering,""because--you look like--you remind me of--yes, yes,the same voice, the same eyes, "
920,And Pinocchio threw himself on the floor and claspedthe knees of the mysterious little woman.,And Pinocchio threw himself on the floor and claspedthe knees of the myste
921,CHAPTER 25,CH
922,"Pinocchio promises the Fairy to be good and to study,as he is growing tired of being a Marionette,and wishes to become a real boy","Pinocchio promises the Fairy to be good and to study,as he is growing tired of "
923,"If Pinocchio cried much longer, the little woman thoughthe would melt away, so she finally admitted that she wasthe little Fairy with Azure Hair.","If Pinocchio cried much longer, the little woman thoughthe would mel"
924,"""You rascal of a Marionette!  How did you know it was I?""she asked, laughing.","""You ras"
925,"""My love for you told me who you were.""","""My love for you told "
926,"""Do you remember?  You left me when I was a little girland now you find me a grown woman.  I am so old, I couldalmost be your mother!""","""Do you remember?  You left m"
927,"""I am very glad of that, for then I can call you motherinstead of sister.  For a long time I have wanted a mother,just like other boys.  But how did you grow so quickly?""","""I am very glad of that, for then I can call you motherinstead of siste"
928,"""That's a secret!""","""That's a"
929,"""Tell it to me.  I also want to grow a little.  Look at me!I have never grown higher than a penny's worth of cheese.""","""Tell it to me.  I also want to grow "
930,"""But you can't grow,"" answered the Fairy.","""But you can't grow,"" "
931,"""Why not?""","""Why n"
932,"""Because Marionettes never grow.  They are born Marionettes,they live Marionettes, and they die Marionettes.""","""Because Marionette"
933,"""Oh, I'm tired of always being a Marionette!"" cried Pinocchio disgustedly.""It's about time for me to grow into a man as everyone else does.""","""Oh, I'm tired of always being a Marionette!"" cried Pinocchio disguste"
934,"""And you will if you deserve it--""","""And you will if you dese"
935,"""Really?  What can I do to deserve it?""","""Really?  What can I do to deserve it?"
936,"""It's a very simple matter.  Try to act like a well-behaved child.""",""""
937,"""Don't you think I do?""","""Do"
938,"""Far from it!  Good boys are obedient, and you, on the contrary--""","""Far from i"
939,"""And I never obey.""","""And I "
940,"""Good boys love study and work, but you--""","""Good boy"
941,"""And I, on the contrary, am a lazy fellow and a tramp all year round.""","""And I, on the contrary, am a lazy fellow and a "
942,"""Good boys always tell the truth.""","""Good boys always tell the truth"
943,"""And I always tell lies.""","""And I al"
944,"""Good boys go gladly to school.""","""Good boys go gladly to"
945,"""And I get sick if I go to school.  From now on I'll be different.""","""And I get sick if I go to school.  From now on I'll be differ"
946,"""Do you promise?""","""Do you promis"
947,"""I promise.  I want to become a good boy and be a comfort to my father.Where is my poor father now?""","""I"
948,"""I do not know.""","""I do not kno"
949,"""Will I ever be lucky enough to find him and embrace him once more?""","""Will I ever be lucky enough to find him and embrace him onc"
950,"""I think so.  Indeed, I am sure of it.""","""I think so.  Indeed, I a"
951,"At this answer, Pinocchio's happiness was very great.He grasped the Fairy's hands and kissed them so hard thatit looked as if he had lost his head.  Then lifting his face,he looked at her lovingly and asked:  ""Tell me, little Mother,it isn't true that you are dead, is it?""","At this answer, Pinocchio's happiness was very great.He grasped the Fairy's hands and kissed them so hard thatit looked as if he had lost his head.  Then lifting his face,he looked at her lovingly and asked:  ""Tell me, little Mother,it isn't true that you are dead,"
952,"""It doesn't seem so,"" answered the Fairy, smiling.","""It doesn't seem so,"" answered the Fairy, smil"
953,"""If you only knew how I suffered and how I wept when I read `Here lies--'""","""If you only knew how I suffered and how I wept when"
954,"""I know it, and for that I have forgiven you.  The depthof your sorrow made me see that you have a kind heart.There is always hope for boys with hearts such as yours,though they may often be very mischievous.  This is thereason why I have come so far to look for you.  From nowon, I'll be your own little mother.""","""I know it, and for that I have forgiven you.  The depthof your sorrow made me see that you have a kind heart.There is always hope for boys with hearts such as yours,though they may often be very mischievous.  This is thereason why I have come so far to look "
955,"""Oh!  How lovely!"" cried Pinocchio, jumping with joy.","""Oh!  How lovely!"" cried Pinocchio, jumping with "
956,"""You will obey me always and do as I wish?""","""You will obey me al"
957,"""Gladly, very gladly, more than gladly!""","""Gladly, very gladly, mo"
958,"""Beginning tomorrow,"" said the Fairy, ""you'll go to school every day.""","""Beginning tomorrow,"" said the Fairy, ""you'll"
959,Pinocchio's face fell a little.,Pinocchio's f
960,"""Then you will choose the trade you like best.""","""Then you will choose the trade you like bes"
961,Pinocchio became more serious.,Pinocchio became more seri
962,"""What are you mumbling to yourself?"" asked the Fairy.","""What are you mumbling to yourself?"" asked the Fai"
963,"""I was just saying,"" whined the Marionette in a whisper,""that it seems too late for me to go to school now.""","""I was"
964,"""No, indeed.  Remember it is never too late to learn.""","""No, inde"
965,"""But I don't want either trade or profession.""","""But I don't want ei"
966,"""Why?""","""Why"
967,"""Because work wearies me!""","""Because "
968,"""My dear boy,"" said the Fairy, ""people who speak asyou do usually end their days either in a prison or in ahospital.  A man, remember, whether rich or poor, shoulddo something in this world.  No one can find happinesswithout work.  Woe betide the lazy fellow!  Laziness is aserious illness and one must cure it immediately; yes, evenfrom early childhood.  If not, it will kill you in the end.""","""My dear boy,"" said the Fairy, ""peo"
969,"These words touched Pinocchio's heart.  He liftedhis eyes to his Fairy and said seriously:""I'll work; I'll study; I'll do all you tell me.After all, the life of a Marionette has grown very tiresometo me and I want to become a boy, no matter how hard it is.You promise that, do you not?""",These words touched Pinocchio's heart.  He li
970,"""Yes, I promise, and now it is up to you.""","""Yes, I promise, a"
971,CHAPTER 26,CHAPTER 
972,Pinocchio goes to the seashore with his friendsto see the Terrible Shark,Pinocchio goes to the seashore with his 
973,"In the morning, bright and early, Pinocchio started for school.","In the morning, bright and early,"
974,"Imagine what the boys said when they saw a Marionetteenter the classroom!  They laughed until they cried.  Everyoneplayed tricks on him.  One pulled his hat off, anothertugged at his coat, a third tried to paint a mustache underhis nose.  One even attempted to tie strings to his feet andhis hands to make him dance.",Imagine what the boys said
975,"For a while Pinocchio was very calm and quiet.  Finally,however, he lost all patience and turning to his tormentors,he said to them threateningly:","For a while Pinocchio was very calm and quiet.  Finally,however, he lost all patience and turning to his tormentors,he said to th"
976,"""Careful, boys, I haven't come here to be made fun of.I'll respect you and I want you to respect me.""","""Careful, boys, I haven't come here to be mad"
977,"""Hurrah for Dr. Know-all!  You have spoken like aprinted book!"" howled the boys, bursting with laughter.One of them, more impudent than the rest, put out hishand to pull the Marionette's nose.","""Hurrah for Dr. Know-all!  You have sp"
978,"But he was not quick enough, for Pinocchio stretchedhis leg under the table and kicked him hard on the shin.","But he was not quick enough, for Pinocchio stretchedhis leg under "
979,"""Oh, what hard feet!"" cried the boy, rubbing the spotwhere the Marionette had kicked him.","""Oh, what hard feet!"" cried the boy, rubbing the spotwhere the Marionette"
980,"""And what elbows!  They are even harder than the feet!""shouted another one, who, because of some other trick,had received a blow in the stomach.","""And what elbows!  They are even harder than the feet!""shouted another one"
981,"With that kick and that blow Pinocchio gained everybody's favor.Everyone admired him, danced attendance upon him, petted and caressed him.",With
982,"As the days passed into weeks, even the teacher praised him,for he saw him attentive, hard working, and wide awake,always the first to come in the morning, and the lastto leave when school was over.","As the days passed into weeks, even"
983,"Pinocchio's only fault was that he had too many friends.Among these were many well-known rascals, who carednot a jot for study or for success.",Pinocch
984,"The teacher warned him each day, and even the goodFairy repeated to him many times:","The teacher warned him each day, "
985,"""Take care, Pinocchio!  Those bad companions willsooner or later make you lose your love for study.Some day they will lead you astray.""","""Take care, Pinocchio!  Those bad companions willsooner o"
986,"""There's no such danger,"" answered the Marionette,shrugging his shoulders and pointing to his forehead as ifto say, ""I'm too wise.""","""There's no such danger,"" answered the Marionette,shrugging his shoulders and "
987,"So it happened that one day, as he was walking to school,he met some boys who ran up to him and said:","So it happened that one day, as he was walking to school,he met some boys who r"
988,"""Have you heard the news?""","""H"
989,"""No!""","""No!"
990,"""A Shark as big as a mountain has been seen near the shore.""","""A Shark as big as a mountain has been seen near the shor"
991,"""Really?  I wonder if it could be the same one I heardof when my father was drowned?""","""Really?  "
992,"""We are going to see it.  Are you coming?""","""We are going to see it. "
993,"""No, not I.  I must go to school.""","""No, not I.  I must go"
994,"""What do you care about school?  You can go there tomorrow.With a lesson more or less, we are always the same donkeys.""","""What do you care about school?  You can go there tomorrow.With a lesson m"
995,"""And what will the teacher say?""","""And what will"
996,"""Let him talk.  He is paid to grumble all day long.""","""Let him talk.  He is paid to grumble all day"
997,"""And my mother?""","""And "
998,"""Mothers don't know anything,"" answered those scamps.","""Mothers don't know anything,"" answere"
999,"""Do you know what I'll do?"" said Pinocchio.""For certain reasons of mine, I, too, want to see that Shark;but I'll go after school.  I can see him then as well as now.""","""Do you know what I'll do?"" said Pinocchio.""For certain reasons "
1000,"""Poor simpleton!"" cried one of the boys.  ""Do you thinkthat a fish of that size will stand there waiting for you?He turns and off he goes, and no one will ever be the wiser.""","""Poor simpleton!"" cried one of the boys.  ""Do you thinkthat a fish of that size will stand there waiting for you?He turns and off he goes, and no one will ever"
1001,"""How long does it take from here to the shore?"" asked the Marionette.""One hour there and back.""","""How long does it take from here to the shore?"" asked the Marionette.""One hour there a"
1002,"""Very well, then.  Let's see who gets there first!"" cried Pinocchio.","""Ver"
1003,"At the signal, the little troop, with books under their arms,dashed across the fields.  Pinocchio led the way, runningas if on wings, the others following as fast as they could.","At the signal, the little troop, with books under their arms,dashed across the fields.  Pinocchio led the way, runningas if on wings, the others fo"
1004,"Now and again, he looked back and, seeing his followershot and tired, and with tongues hanging out, he laughedout heartily.  Unhappy boy!  If he had only known thenthe dreadful things that were to happen to him on accountof his disobedience!","Now and again, he looked back and, seeing his f"
1005,CHAPTER 27,CH
1006,The great battle between Pinocchio and his playmates.One is wounded.  Pinocchio is arrested,The great battle between Pinocchio and his play
1007,"Going like the wind, Pinocchio took but a very short timeto reach the shore.  He glanced all about him, but there wasno sign of a Shark.  The sea was as smooth as glass.","Going like the wind, Pinocchio took but a very short timeto reach the shore.  He glanced all about him, but there wasno sign of a "
1008,"""Hey there, boys!  Where's that Shark?"" he asked,turning to his playmates.","""Hey there, boys!  Where's that Shark?"
1009,"""He may have gone for his breakfast,"" said one of them, laughing.","""He may have gone for his breakfast,"" said one of them, laug"
1010,"""Or, perhaps, he went to bed for a little nap,""said another, laughing also.","""Or, perhaps, he went to bed for a"
1011,"From the answers and the laughter which followed them,Pinocchio understood that the boys had played a trick on him.","From the answers and the laughter which followed them,Pinocchio understood that the boys h"
1012,"""What now?"" he said angrily to them.  ""What's the joke?""","""What now?"" he said angrily to them.  ""What's the jok"
1013,"""Oh, the joke's on you!"" cried his tormentors, laughingmore heartily than ever, and dancing gayly around the Marionette.","""Oh, the joke's on you!"" cried his tormentors, laughingmore heartily than ever, and dancing gayly around the "
1014,"""And that is--?""","""And t"
1015,"""That we have made you stay out of school to comewith us.  Aren't you ashamed of being such a goody-goody,and of studying so hard?  You never have a bit of enjoyment.""","""That we have made you stay out of school to comewith us.  Aren't you ashamed of being such a goody-goody,and of studying so hard?  You never have a bit of en"
1016,"""And what is it to you, if I do study?""","""And what is it to you, if I do study"
1017,"""What does the teacher think of us, you mean?""","""What does the teacher"
1018,"""Why?""",""""
1019,"""Don't you see?  If you study and we don't, we pay forit.  After all, it's only fair to look out for ourselves.""","""Don't you see?  If you study and we don't, we pay forit.  After all,"
1020,"""What do you want me to do?""",""""
1021,"""Hate school and books and teachers, as we all do.  Theyare your worst enemies, you know, and they like to makeyou as unhappy as they can.""","""Hate school and books and teach"
1022,"""And if I go on studying, what will you do to me?""","""And if I go on studying, what will y"
1023,"""You'll pay for it!""","""You"
1024,"""Really, you amuse me,"" answered the Marionette, nodding his head.","""Really, you amu"
1025,"""Hey, Pinocchio,"" cried the tallest of them all, ""that will do.We are tired of hearing you bragging about yourself,you little turkey cock!  You may not be afraid of us,but remember we are not afraid of you, either!You are alone, you know, and we are seven.""","""Hey, Pinocchio,"" cried the tallest of them all"
1026,"""Like the seven sins,"" said Pinocchio, still laughing.","""Like the seven sins,"" said Pinocchio, still laug"
1027,"""Did you hear that?  He has insulted us all.  He has called us sins.""","""Did you h"
1028,"""Pinocchio, apologize for that, or look out!""","""Pinocchio, apologize for that, o"
1029,"""Cuck--oo!"" said the Marionette, mocking them with his thumb to his nose.","""Cuck--oo!"" said the Marionette, mocking them with"
1030,"""You'll be sorry!""","""You'll be sorr"
1031,"""Cuck--oo!""","""Cu"
1032,"""We'll whip you soundly!""","""We'll whip "
1033,"""Cuck--oo!""","""Cuck--"
1034,"""You'll go home with a broken nose!""","""You'll go hom"
1035,"""Cuck--oo!""","""Cuck-"
1036,"""Very well, then!  Take that, and keep it for your supper,""called out the boldest of his tormentors.","""Very well, then!  Take that, and k"
1037,"And with the words, he gave Pinocchio a terrible blow on the head.",And with 
1038,"Pinocchio answered with another blow, and that wasthe signal for the beginning of the fray.  In a few moments,the fight raged hot and heavy on both sides.","Pinocchio answered with another blow, and that wasthe signal for the beginning of the fray.  In a few moments,the fight raged hot and heavy on both "
1039,"Pinocchio, although alone, defended himself bravely.With those two wooden feet of his, he worked so fastthat his opponents kept at a respectful distance.Wherever they landed, they left their painful markand the boys could only run away and howl.","Pinocchio, although alone, de"
1040,"Enraged at not being able to fight the Marionette at closequarters, they started to throw all kinds of books at him.Readers, geographies, histories, grammars flew in all directions.But Pinocchio was keen of eye and swift of movement, and the booksonly passed over his head, landed in the sea, and disappeared.","Enraged at not being able to fight the Marionette at closequarters, they started to throw all kinds of books at him.Readers, geographies, histories, grammars flew in all directions.But P"
1041,"The fish, thinking they might be good to eat, came tothe top of the water in great numbers.  Some took a nibble,some took a bite, but no sooner had they tasted a page or two,than they spat them out with a wry face, as if to say:","The fish, thinking they might be good to eat, came tothe top of the water in great numbers.  Some took a nibble,some took a bite, but no sooner had they tasted a page or two,than they spat them out w"
1042,"""What a horrid taste!  Our own food is so much better!""","""What a horrid taste"
1043,"Meanwhile, the battle waxed more and more furious.At the noise, a large Crab crawled slowly out of the waterand, with a voice that sounded like a trombone sufferingfrom a cold, he cried out:","Meanwhile, the battle waxed more and more furious.At the noise, a large Crab crawled slowly out of"
1044,"""Stop fighting, you rascals!  These battles between boysrarely end well.  Trouble is sure to come to you!""","""Stop fighting, you rascals!"
1045,"Poor Crab!  He might as well have spoken to the wind.Instead of listening to his good advice, Pinocchio turnedto him and said as roughly as he knew how:",Poor Cr
1046,"""Keep quiet, ugly Gab!  It would be better for you tochew a few cough drops to get rid of that cold you have.Go to bed and sleep!  You will feel better in the morning.""","""Keep quiet, ugly Gab!  It would be better for you tochew a few cough drops to get rid of that cold you have.Go to "
1047,"In the meantime, the boys, having used all their books,looked around for new ammunition.  Seeing Pinocchio'sbundle lying idle near-by, they somehow managed to gethold of it.","In the meantime, the boys, having used all their books,looked around for new ammunition.  Seeing Pinocchio'sbundle lying idle near-by, they s"
1048,"One of the books was a very large volume, an arithmetic text,heavily bound in leather.  It was Pinocchio's pride.Among all his books, he liked that one the best.","One of the books was a very large volume, an arithmetic text,heavily bound in leather.  It was Pinocchio's pride.Among all his books, he liked that one the be"
1049,"Thinking it would make a fine missile, one of the boys tookhold of it and threw it with all his strength at Pinocchio's head.But instead of hitting the Marionette, the book struck one of theother boys, who, as pale as a ghost, cried out faintly:""Oh, Mother, help!  I'm dying!"" and fell senseless to the ground.","Thinking it would make a fine missile, one of the boys tookhold of it and threw it with all his strength at Pinocchio's head.But instead of hitting the Marionette, the book struck one of theother boys, who, as pale as a"
1050,"At the sight of that pale little corpse, the boys were sofrightened that they turned tail and ran.  In a few moments,all had disappeared.","At the sight of that pale little corpse, the boys were sofrightened that they turned tail "
1051,"All except Pinocchio.  Although scared to death by thehorror of what had been done, he ran to the sea and soakedhis handkerchief in the cool water and with it bathed thehead of his poor little schoolmate.  Sobbing bitterly, hecalled to him, saying:","All except Pinocchio.  Although scared to death by thehorror of what had been done, he ran to the sea and soakedhis handkerchief in the cool water and with it bathed thehead of his poor little schoolmate.  Sobbing bitterly, hecalle"
1052,"""Eugene!  My poor Eugene!  Open your eyes and look at me!Why don't you answer?  I was not the one who hit you,you know.  Believe me, I didn't do it.  Open your eyes,Eugene?  If you keep them shut, I'll die, too.  Oh, dear me,how shall I ever go home now?  How shall I ever look atmy little mother again?  What will happen to me?  Whereshall I go?  Where shall I hide?  Oh, how much better itwould have been, a thousand times better, if only I hadgone to school!  Why did I listen to those boys?  Theyalways were a bad influence!  And to think that the teacherhad told me--and my mother, too!--`Beware of badcompany!' That's what she said.  But I'm stubborn andproud.  I listen, but always I do as I wish.  And then I pay.I've never had a moment's peace since I've been born! Oh,dear! What will become of me?  What will become of me?""","""Eugene!  My poor Eugene!  Open your eyes and look at me!Why don't you answer?  I was not the one who hit you,you know.  Believe me, I didn't do it.  Open your eyes,Eugene?  If you keep them shut, I'll die, too.  Oh, dear me,how shall I ever go home now?  How shall I ever look atmy little mother again?  What will happen"
1053,"Pinocchio went on crying and moaning and beating hishead.  Again and again he called to his little friend, whensuddenly he heard heavy steps approaching.","Pinocchio went on crying and moaning and beating hishead.  Again and again he called to his little friend, whensuddenly he heard heavy "
1054,He looked up and saw two tall Carabineers near him.,He looked up and saw two tall Carabineers near him
1055,"""What are you doing stretched out on the ground?""they asked Pinocchio.","""W"
1056,"""I'm helping this schoolfellow of mine.""","""I'm helping this schoolfellow of "
1057,"""Has he fainted?""","""Has he "
1058,"""I should say so,"" said one of the Carabineers, bendingto look at Eugene.  ""This boy has been wounded on thetemple.  Who has hurt him?""","""I should say so,"" said one of the Carabineers, bendingto look at Eugene.  ""This boy has been wounded on thetemple.  Who has hurt "
1059,"""Not I,"" stammered the Marionette, who had hardlya breath left in his whole body.","""Not I,"" stammered the Marionette, who had hardlya brea"
1060,"""If it wasn't you, who was it, then?""","""If it wasn't you, who was it, "
1061,"""Not I,"" repeated Pinocchio.","""Not I,"" repe"
1062,"""And with what was he wounded?""","""And wit"
1063,"""With this book,"" and the Marionette picked up thearithmetic text to show it to the officer.","""With this book,"" and the Marione"
1064,"""And whose book is this?""","""And whose "
1065,"""Mine.""","""Mi"
1066,"""Enough.""","""En"
1067,"""Not another word!  Get up as quickly as you can and come along with us.""",""""
1068,"""But I--""","""But "
1069,"""Come with us!""","""Come with us!"
1070,"""But I am innocent.""","""But "
1071,"""Come with us!""","""Come"
1072,"Before starting out, the officers called out to severalfishermen passing by in a boat and said to them:",Before starting o
1073,"""Take care of this little fellow who has been hurt.Take him home and bind his wounds.  Tomorrow we'll come after him.""","""Take care of this little fellow who has been hurt.Take h"
1074,"They then took hold of Pinocchio and, putting himbetween them, said to him in a rough voice:  ""March!And go quickly, or it will be the worse for you!""","They then took hold of Pinocchio and, putting himbetween them, said to him in a ro"
1075,"They did not have to repeat their words.  The Marionettewalked swiftly along the road to the village.  But thepoor fellow hardly knew what he was about.  He thoughthe had a nightmare.  He felt ill.  His eyes saw everythingdouble, his legs trembled, his tongue was dry, and, try ashe might, he could not utter a single word.  Yet, in spiteof this numbness of feeling, he suffered keenly at thethought of passing under the windows of his good littleFairy's house.  What would she say on seeing him betweentwo Carabineers?","They did not have to repeat their words.  The Marionettewalked swiftly along the road to the village.  But thepoor fellow hardly knew what he was about.  He thoughthe had a nightmare.  He felt ill.  His eyes saw everythingdouble, his legs trembled, his tongue was dry, and, try ashe might, he could not utter a single word.  Yet, in spiteof this numbness of feeling, he suffered keenly at thethought of passing under the windows of his g"
1076,"They had just reached the village, when a sudden gustof wind blew off Pinocchio's cap and made it go sailing fardown the street.","They had just reached the village, when a sudden gustof wind blew off Pinocchio's cap and made it go saili"
1077,"""Would you allow me,"" the Marionette asked theCarabineers, ""to run after my cap?""","""Would you allow me,"" the Marionette asked theCarabineers, ""to r"
1078,"""Very well, go; but hurry.""","""Very well, go; but hurry"
1079,"The Marionette went, picked up his cap--but insteadof putting it on his head, he stuck it between his teethand then raced toward the sea.","The Marionette went, picked up his cap--but insteadof putting it on his head, he "
1080,He went like a bullet out of a gun.,He went like a
